[2026-04-23 15:23:16] Starting async crawl...
[2026-04-23 15:23:16] Input file: /home/buiphamhoaithanh/processed_data/distinct_products.json
[2026-04-23 15:23:16] Concurrency=2, Batch size=5, Retries=0, Timeout(total/connect/read)=10/5/5
[2026-04-23 15:23:16] RUNNING batch=1 size=5
[2026-04-23 15:23:16] QUEUE product_id=110474 retry=0
[2026-04-23 15:23:16] ACQUIRED product_id=110474 retry=0
[2026-04-23 15:23:16] QUEUE product_id=99316 retry=0
[2026-04-23 15:23:16] ACQUIRED product_id=99316 retry=0
[2026-04-23 15:23:16] QUEUE product_id=108591 retry=0
[2026-04-23 15:23:16] QUEUE product_id=110645 retry=0
[2026-04-23 15:23:16] QUEUE product_id=90273 retry=0
[2026-04-23 15:23:16] STATUS product_id=110474 status=403
[2026-04-23 15:23:16] ACQUIRED product_id=108591 retry=0
[2026-04-23 15:23:16] STATUS product_id=99316 status=200
[2026-04-23 15:23:16] ACQUIRED product_id=110645 retry=0
[2026-04-23 15:23:17] STATUS product_id=110645 status=200
[2026-04-23 15:23:17] ACQUIRED product_id=90273 retry=0
[2026-04-23 15:23:17] STATUS product_id=90273 status=403
[2026-04-23 15:23:17] STATUS product_id=108591 status=200
[2026-04-23 15:23:17] Batch 1: total=5, success=3, error=2, time=1.77s
[2026-04-23 15:23:19] RUNNING batch=2 size=5
[2026-04-23 15:23:19] QUEUE product_id=90166 retry=0
[2026-04-23 15:23:19] ACQUIRED product_id=90166 retry=0
[2026-04-23 15:23:19] QUEUE product_id=97845 retry=0
[2026-04-23 15:23:19] ACQUIRED product_id=97845 retry=0
[2026-04-23 15:23:19] QUEUE product_id=90736 retry=0
[2026-04-23 15:23:19] QUEUE product_id=98083 retry=0
[2026-04-23 15:23:19] QUEUE product_id=84781 retry=0
[2026-04-23 15:23:19] STATUS product_id=90166 status=403
[2026-04-23 15:23:19] ACQUIRED product_id=90736 retry=0
[2026-04-23 15:23:19] STATUS product_id=90736 status=403
[2026-04-23 15:23:19] ACQUIRED product_id=98083 retry=0
[2026-04-23 15:23:19] STATUS product_id=98083 status=403
[2026-04-23 15:23:19] ACQUIRED product_id=84781 retry=0
[2026-04-23 15:23:19] STATUS product_id=97845 status=200
[2026-04-23 15:23:20] STATUS product_id=84781 status=200
[2026-04-23 15:23:20] Batch 2: total=5, success=2, error=3, time=1.69s
[2026-04-23 15:23:22] RUNNING batch=3 size=5
[2026-04-23 15:23:22] QUEUE product_id=107889 retry=0
[2026-04-23 15:23:22] ACQUIRED product_id=107889 retry=0
[2026-04-23 15:23:22] QUEUE product_id=103302 retry=0
[2026-04-23 15:23:22] ACQUIRED product_id=103302 retry=0
[2026-04-23 15:23:22] QUEUE product_id=84831 retry=0
[2026-04-23 15:23:22] QUEUE product_id=90744 retry=0
[2026-04-23 15:23:22] QUEUE product_id=102558 retry=0
[2026-04-23 15:23:22] STATUS product_id=103302 status=403
[2026-04-23 15:23:22] ACQUIRED product_id=84831 retry=0
[2026-04-23 15:23:23] STATUS product_id=107889 status=200
[2026-04-23 15:23:23] ACQUIRED product_id=90744 retry=0
[2026-04-23 15:23:25] STATUS product_id=84831 status=200
[2026-04-23 15:23:25] ACQUIRED product_id=102558 retry=0
[2026-04-23 15:23:25] STATUS product_id=102558 status=403
[2026-04-23 15:23:25] STATUS product_id=90744 status=200
[2026-04-23 15:23:25] Batch 3: total=5, success=3, error=2, time=2.59s
[2026-04-23 15:23:26] RUNNING batch=4 size=5
[2026-04-23 15:23:26] QUEUE product_id=104166 retry=0
[2026-04-23 15:23:26] ACQUIRED product_id=104166 retry=0
[2026-04-23 15:23:26] QUEUE product_id=103126 retry=0
[2026-04-23 15:23:26] ACQUIRED product_id=103126 retry=0
[2026-04-23 15:23:26] QUEUE product_id=95519 retry=0
[2026-04-23 15:23:26] QUEUE product_id=92367 retry=0
[2026-04-23 15:23:26] QUEUE product_id=110584 retry=0
[2026-04-23 15:23:26] STATUS product_id=103126 status=403
[2026-04-23 15:23:26] ACQUIRED product_id=95519 retry=0
[2026-04-23 15:23:26] STATUS product_id=104166 status=403
[2026-04-23 15:23:26] ACQUIRED product_id=92367 retry=0
[2026-04-23 15:23:27] STATUS product_id=92367 status=200
[2026-04-23 15:23:28] ACQUIRED product_id=110584 retry=0
[2026-04-23 15:23:28] STATUS product_id=110584 status=403
[2026-04-23 15:23:28] STATUS product_id=95519 status=200
[2026-04-23 15:23:28] Batch 4: total=5, success=2, error=3, time=1.62s
[2026-04-23 15:23:29] RUNNING batch=5 size=5
[2026-04-23 15:23:29] QUEUE product_id=109432 retry=0
[2026-04-23 15:23:29] ACQUIRED product_id=109432 retry=0
[2026-04-23 15:23:29] QUEUE product_id=102107 retry=0
[2026-04-23 15:23:29] ACQUIRED product_id=102107 retry=0
[2026-04-23 15:23:29] QUEUE product_id=92485 retry=0
[2026-04-23 15:23:29] QUEUE product_id=96566 retry=0
[2026-04-23 15:23:29] QUEUE product_id=96422 retry=0
[2026-04-23 15:23:30] STATUS product_id=109432 status=200
