[2026-04-24 02:00:39] Starting retry crawl for error products...
[2026-04-24 02:00:39] Input file: /home/buiphamhoaithanh/crawl_output/retry_error.jsonl
[2026-04-24 02:00:39] Concurrency=1, Batch size=15, Retries=1, Timeout(total/connect/read)=12/6/6
[2026-04-24 02:00:39] RUNNING batch=1 size=15
[2026-04-24 02:00:39] QUEUE product_id=89593 retry=0
[2026-04-24 02:00:39] ACQUIRED product_id=89593 retry=0
[2026-04-24 02:00:39] QUEUE product_id=96422 retry=0
[2026-04-24 02:00:39] QUEUE product_id=101994 retry=0
[2026-04-24 02:00:39] QUEUE product_id=90736 retry=0
[2026-04-24 02:00:39] QUEUE product_id=103302 retry=0
[2026-04-24 02:00:39] QUEUE product_id=104172 retry=0
[2026-04-24 02:00:39] QUEUE product_id=102002 retry=0
[2026-04-24 02:00:39] QUEUE product_id=91056 retry=0
[2026-04-24 02:00:39] QUEUE product_id=90475 retry=0
[2026-04-24 02:00:39] QUEUE product_id=84883 retry=0
[2026-04-24 02:00:39] QUEUE product_id=102504 retry=0
[2026-04-24 02:00:39] QUEUE product_id=93360 retry=0
[2026-04-24 02:00:39] QUEUE product_id=95560 retry=0
[2026-04-24 02:00:39] QUEUE product_id=102980 retry=0
[2026-04-24 02:00:39] QUEUE product_id=110606 retry=0
[2026-04-24 02:00:42] STATUS product_id=89593 status=404
[2026-04-24 02:00:42] ACQUIRED product_id=96422 retry=0
[2026-04-24 02:00:42] FINISHED product_id=89593 status=failed
[2026-04-24 02:00:46] STATUS product_id=96422 status=404
[2026-04-24 02:00:46] ACQUIRED product_id=101994 retry=0
[2026-04-24 02:00:46] FINISHED product_id=96422 status=failed
[2026-04-24 02:00:50] STATUS product_id=101994 status=404
[2026-04-24 02:00:50] ACQUIRED product_id=90736 retry=0
[2026-04-24 02:00:50] FINISHED product_id=101994 status=failed
[2026-04-24 02:00:53] STATUS product_id=90736 status=200
[2026-04-24 02:00:53] ACQUIRED product_id=103302 retry=0
[2026-04-24 02:00:53] FINISHED product_id=90736 status=success
[2026-04-24 02:00:56] STATUS product_id=103302 status=403
[2026-04-24 02:00:56] RETRY product_id=103302 reason=status_403 sleep=3.65s
[2026-04-24 02:00:56] ACQUIRED product_id=104172 retry=0
[2026-04-24 02:00:59] QUEUE product_id=103302 retry=1
[2026-04-24 02:01:00] STATUS product_id=104172 status=404
[2026-04-24 02:01:00] ACQUIRED product_id=102002 retry=0
[2026-04-24 02:01:00] FINISHED product_id=104172 status=failed
[2026-04-24 02:01:03] STATUS product_id=102002 status=404
[2026-04-24 02:01:03] ACQUIRED product_id=91056 retry=0
[2026-04-24 02:01:03] FINISHED product_id=102002 status=failed
[2026-04-24 02:01:06] STATUS product_id=91056 status=404
[2026-04-24 02:01:06] ACQUIRED product_id=90475 retry=0
[2026-04-24 02:01:06] FINISHED product_id=91056 status=failed
[2026-04-24 02:01:09] STATUS product_id=90475 status=200
[2026-04-24 02:01:09] ACQUIRED product_id=84883 retry=0
[2026-04-24 02:01:09] FINISHED product_id=90475 status=success
[2026-04-24 02:01:12] STATUS product_id=84883 status=200
[2026-04-24 02:01:12] ACQUIRED product_id=102504 retry=0
[2026-04-24 02:01:12] FINISHED product_id=84883 status=success
[2026-04-24 02:01:15] STATUS product_id=102504 status=200
[2026-04-24 02:01:15] ACQUIRED product_id=93360 retry=0
[2026-04-24 02:01:15] FINISHED product_id=102504 status=success
[2026-04-24 02:01:19] STATUS product_id=93360 status=200
[2026-04-24 02:01:19] ACQUIRED product_id=95560 retry=0
[2026-04-24 02:01:19] FINISHED product_id=93360 status=success
[2026-04-24 02:01:22] STATUS product_id=95560 status=403
[2026-04-24 02:01:22] RETRY product_id=95560 reason=status_403 sleep=3.76s
[2026-04-24 02:01:22] ACQUIRED product_id=102980 retry=0
[2026-04-24 02:01:25] STATUS product_id=102980 status=404
[2026-04-24 02:01:25] ACQUIRED product_id=110606 retry=0
[2026-04-24 02:01:25] FINISHED product_id=102980 status=failed
[2026-04-24 02:01:25] QUEUE product_id=95560 retry=1
[2026-04-24 02:01:29] STATUS product_id=110606 status=404
[2026-04-24 02:01:29] ACQUIRED product_id=103302 retry=1
[2026-04-24 02:01:29] FINISHED product_id=110606 status=failed
[2026-04-24 02:01:32] STATUS product_id=103302 status=403
[2026-04-24 02:01:32] ACQUIRED product_id=95560 retry=1
[2026-04-24 02:01:32] FINISHED product_id=103302 status=failed
[2026-04-24 02:01:36] STATUS product_id=95560 status=403
[2026-04-24 02:01:36] FINISHED product_id=95560 status=failed
[2026-04-24 02:01:36] Batch 1: total=15, success=5, error=10, time=56.73s
[2026-04-24 02:01:38] RUNNING batch=2 size=15
[2026-04-24 02:01:38] QUEUE product_id=98364 retry=0
[2026-04-24 02:01:38] ACQUIRED product_id=98364 retry=0
[2026-04-24 02:01:38] QUEUE product_id=110608 retry=0
[2026-04-24 02:01:38] QUEUE product_id=92389 retry=0
[2026-04-24 02:01:38] QUEUE product_id=97868 retry=0
[2026-04-24 02:01:38] QUEUE product_id=89436 retry=0
[2026-04-24 02:01:38] QUEUE product_id=99638 retry=0
[2026-04-24 02:01:38] QUEUE product_id=97970 retry=0
[2026-04-24 02:01:38] QUEUE product_id=110607 retry=0
[2026-04-24 02:01:38] QUEUE product_id=101751 retry=0
[2026-04-24 02:01:38] QUEUE product_id=110610 retry=0
[2026-04-24 02:01:38] QUEUE product_id=98958 retry=0
[2026-04-24 02:01:38] QUEUE product_id=91771 retry=0
[2026-04-24 02:01:38] QUEUE product_id=91250 retry=0
[2026-04-24 02:01:38] QUEUE product_id=91896 retry=0
[2026-04-24 02:01:38] QUEUE product_id=92744 retry=0
[2026-04-24 02:01:43] STATUS product_id=98364 status=404
[2026-04-24 02:01:43] ACQUIRED product_id=110608 retry=0
[2026-04-24 02:01:43] FINISHED product_id=98364 status=failed
[2026-04-24 02:01:45] STATUS product_id=110608 status=404
[2026-04-24 02:01:45] ACQUIRED product_id=92389 retry=0
[2026-04-24 02:01:45] FINISHED product_id=110608 status=failed
[2026-04-24 02:01:48] STATUS product_id=92389 status=403
[2026-04-24 02:01:48] RETRY product_id=92389 reason=status_403 sleep=3.82s
[2026-04-24 02:01:48] ACQUIRED product_id=97868 retry=0
[2026-04-24 02:01:51] STATUS product_id=97868 status=403
[2026-04-24 02:01:51] RETRY product_id=97868 reason=status_403 sleep=3.86s
[2026-04-24 02:01:51] ACQUIRED product_id=89436 retry=0
[2026-04-24 02:01:52] QUEUE product_id=92389 retry=1
[2026-04-24 02:01:54] STATUS product_id=89436 status=403
[2026-04-24 02:01:54] RETRY product_id=89436 reason=status_403 sleep=3.59s
[2026-04-24 02:01:54] ACQUIRED product_id=99638 retry=0
[2026-04-24 02:01:55] QUEUE product_id=97868 retry=1
[2026-04-24 02:01:57] STATUS product_id=99638 status=200
[2026-04-24 02:01:57] ACQUIRED product_id=97970 retry=0
[2026-04-24 02:01:57] FINISHED product_id=99638 status=success
[2026-04-24 02:01:58] QUEUE product_id=89436 retry=1
[2026-04-24 02:02:03] STATUS product_id=97970 status=200
[2026-04-24 02:02:03] ACQUIRED product_id=110607 retry=0
[2026-04-24 02:02:03] FINISHED product_id=97970 status=success
[2026-04-24 02:02:07] STATUS product_id=110607 status=404
[2026-04-24 02:02:07] ACQUIRED product_id=101751 retry=0
[2026-04-24 02:02:07] FINISHED product_id=110607 status=failed
[2026-04-24 02:02:10] STATUS product_id=101751 status=404
[2026-04-24 02:02:10] ACQUIRED product_id=110610 retry=0
[2026-04-24 02:02:10] FINISHED product_id=101751 status=failed
[2026-04-24 02:02:14] STATUS product_id=110610 status=404
[2026-04-24 02:02:14] ACQUIRED product_id=98958 retry=0
[2026-04-24 02:02:14] FINISHED product_id=110610 status=failed
[2026-04-24 02:02:17] STATUS product_id=98958 status=403
[2026-04-24 02:02:17] RETRY product_id=98958 reason=status_403 sleep=3.54s
[2026-04-24 02:02:17] ACQUIRED product_id=91771 retry=0
[2026-04-24 02:02:21] QUEUE product_id=98958 retry=1
[2026-04-24 02:02:21] STATUS product_id=91771 status=200
[2026-04-24 02:02:21] ACQUIRED product_id=91250 retry=0
[2026-04-24 02:02:21] FINISHED product_id=91771 status=success
[2026-04-24 02:02:24] STATUS product_id=91250 status=403
[2026-04-24 02:02:24] RETRY product_id=91250 reason=status_403 sleep=3.74s
[2026-04-24 02:02:24] ACQUIRED product_id=91896 retry=0
[2026-04-24 02:02:28] QUEUE product_id=91250 retry=1
[2026-04-24 02:02:31] STATUS product_id=91896 status=200
[2026-04-24 02:02:31] ACQUIRED product_id=92744 retry=0
[2026-04-24 02:02:31] FINISHED product_id=91896 status=success
[2026-04-24 02:02:34] STATUS product_id=92744 status=403
[2026-04-24 02:02:34] RETRY product_id=92744 reason=status_403 sleep=3.89s
[2026-04-24 02:02:34] ACQUIRED product_id=92389 retry=1
[2026-04-24 02:02:38] STATUS product_id=92389 status=200
[2026-04-24 02:02:38] ACQUIRED product_id=97868 retry=1
[2026-04-24 02:02:38] FINISHED product_id=92389 status=success
[2026-04-24 02:02:38] QUEUE product_id=92744 retry=1
[2026-04-24 02:02:42] STATUS product_id=97868 status=200
[2026-04-24 02:02:42] ACQUIRED product_id=89436 retry=1
[2026-04-24 02:02:42] FINISHED product_id=97868 status=success
[2026-04-24 02:02:45] STATUS product_id=89436 status=403
[2026-04-24 02:02:45] ACQUIRED product_id=98958 retry=1
[2026-04-24 02:02:45] FINISHED product_id=89436 status=failed
[2026-04-24 02:02:50] STATUS product_id=98958 status=404
[2026-04-24 02:02:50] ACQUIRED product_id=91250 retry=1
[2026-04-24 02:02:50] FINISHED product_id=98958 status=failed
[2026-04-24 02:02:54] STATUS product_id=91250 status=200
[2026-04-24 02:02:54] ACQUIRED product_id=92744 retry=1
[2026-04-24 02:02:54] FINISHED product_id=91250 status=success
[2026-04-24 02:02:58] STATUS product_id=92744 status=403
[2026-04-24 02:02:58] FINISHED product_id=92744 status=failed
[2026-04-24 02:02:58] Batch 2: total=15, success=7, error=8, time=79.44s
[2026-04-24 02:03:00] RUNNING batch=3 size=15
[2026-04-24 02:03:00] QUEUE product_id=110064 retry=0
[2026-04-24 02:03:00] ACQUIRED product_id=110064 retry=0
[2026-04-24 02:03:00] QUEUE product_id=104178 retry=0
[2026-04-24 02:03:00] QUEUE product_id=90730 retry=0
[2026-04-24 02:03:00] QUEUE product_id=96620 retry=0
[2026-04-24 02:03:00] QUEUE product_id=92983 retry=0
[2026-04-24 02:03:00] QUEUE product_id=99518 retry=0
[2026-04-24 02:03:00] QUEUE product_id=92796 retry=0
[2026-04-24 02:03:00] QUEUE product_id=102717 retry=0
[2026-04-24 02:03:00] QUEUE product_id=84874 retry=0
[2026-04-24 02:03:00] QUEUE product_id=96673 retry=0
[2026-04-24 02:03:00] QUEUE product_id=99454 retry=0
[2026-04-24 02:03:00] QUEUE product_id=109578 retry=0
[2026-04-24 02:03:00] QUEUE product_id=90387 retry=0
[2026-04-24 02:03:00] QUEUE product_id=110628 retry=0
[2026-04-24 02:03:00] QUEUE product_id=97825 retry=0
[2026-04-24 02:03:04] STATUS product_id=110064 status=404
[2026-04-24 02:03:04] ACQUIRED product_id=104178 retry=0
[2026-04-24 02:03:04] FINISHED product_id=110064 status=failed
[2026-04-24 02:03:09] STATUS product_id=104178 status=404
[2026-04-24 02:03:09] ACQUIRED product_id=90730 retry=0
[2026-04-24 02:03:09] FINISHED product_id=104178 status=failed
[2026-04-24 02:03:12] STATUS product_id=90730 status=404
[2026-04-24 02:03:12] ACQUIRED product_id=96620 retry=0
[2026-04-24 02:03:12] FINISHED product_id=90730 status=failed
[2026-04-24 02:03:15] STATUS product_id=96620 status=403
[2026-04-24 02:03:15] RETRY product_id=96620 reason=status_403 sleep=3.68s
[2026-04-24 02:03:15] ACQUIRED product_id=92983 retry=0
[2026-04-24 02:03:18] QUEUE product_id=96620 retry=1
[2026-04-24 02:03:19] STATUS product_id=92983 status=200
[2026-04-24 02:03:19] ACQUIRED product_id=99518 retry=0
[2026-04-24 02:03:19] FINISHED product_id=92983 status=success
[2026-04-24 02:03:23] STATUS product_id=99518 status=404
[2026-04-24 02:03:23] ACQUIRED product_id=92796 retry=0
[2026-04-24 02:03:23] FINISHED product_id=99518 status=failed
