currency_code,rate_month,exchange_rate_to_usd
USD,2020-04-01,1.000000
USD,2020-05-01,1.000000
USD,2020-06-01,1.000000
EUR,2020-04-01,1.080000
EUR,2020-05-01,1.090000
EUR,2020-06-01,1.130000
GBP,2020-04-01,1.240000
GBP,2020-05-01,1.250000
GBP,2020-06-01,1.270000
CHF,2020-04-01,1.030000
CHF,2020-05-01,1.040000
CHF,2020-06-01,1.050000
AUD,2020-04-01,0.630000
AUD,2020-05-01,0.650000
AUD,2020-06-01,0.660000
CAD,2020-04-01,0.710000
CAD,2020-05-01,0.720000
CAD,2020-06-01,0.740000
NZD,2020-04-01,0.600000
NZD,2020-05-01,0.605000
NZD,2020-06-01,0.610000
SGD,2020-04-01,0.700000
SGD,2020-05-01,0.720000
SGD,2020-06-01,0.740000
HKD,2020-04-01,0.128000
HKD,2020-05-01,0.129000
HKD,2020-06-01,0.130000
MXN,2020-04-01,0.041000
MXN,2020-05-01,0.045000
MXN,2020-06-01,0.050000
INR,2020-04-01,0.013000
INR,2020-05-01,0.012500
INR,2020-06-01,0.012000
JPY,2020-04-01,0.009200
JPY,2020-05-01,0.008500
JPY,2020-06-01,0.006900
TRY,2020-04-01,0.150000
TRY,2020-05-01,0.120000
TRY,2020-06-01,0.031000
BRL,2020-04-01,0.180000
BRL,2020-05-01,0.190000
BRL,2020-06-01,0.200000
SEK,2020-04-01,0.098000
SEK,2020-05-01,0.096000
SEK,2020-06-01,0.094000
CZK,2020-04-01,0.041000
CZK,2020-05-01,0.042000
CZK,2020-06-01,0.043000
HUF,2020-04-01,0.003000
HUF,2020-05-01,0.002900
HUF,2020-06-01,0.002800
PLN,2020-04-01,0.250000
PLN,2020-05-01,0.255000
PLN,2020-06-01,0.260000
CLP,2020-04-01,0.001000
CLP,2020-05-01,0.001050
CLP,2020-06-01,0.001100
BGN,2020-04-01,0.550000
BGN,2020-05-01,0.560000
BGN,2020-06-01,0.570000
HRK,2020-04-01,0.140000
HRK,2020-05-01,0.145000
HRK,2020-06-01,0.150000
COP,2020-04-01,0.000220
COP,2020-05-01,0.000235
COP,2020-06-01,0.000250
PEN,2020-04-01,0.260000
PEN,2020-05-01,0.265000
PEN,2020-06-01,0.270000
PHP,2020-04-01,0.016000
PHP,2020-05-01,0.016500
PHP,2020-06-01,0.017000
RSD,2020-04-01,0.008500
RSD,2020-05-01,0.008900
RSD,2020-06-01,0.009300
VND,2020-04-01,0.000042
VND,2020-05-01,0.000041
VND,2020-06-01,0.000039
GTQ,2020-04-01,0.128000
GTQ,2020-05-01,0.129000
GTQ,2020-06-01,0.130000
CRC,2020-04-01,0.001800
CRC,2020-05-01,0.001900
CRC,2020-06-01,0.002000
UYU,2020-04-01,0.024000
UYU,2020-05-01,0.025000
UYU,2020-06-01,0.026000
BOB,2020-04-01,0.135000
BOB,2020-05-01,0.138000
BOB,2020-06-01,0.140000
DOP,2020-04-01,0.015000
DOP,2020-05-01,0.016000
DOP,2020-06-01,0.017000
PYG,2020-04-01,0.000120
PYG,2020-05-01,0.000125
PYG,2020-06-01,0.000130
KWD,2020-04-01,3.200000
KWD,2020-05-01,3.220000
KWD,2020-06-01,3.250000
RON,2020-04-01,0.210000
RON,2020-05-01,0.215000
RON,2020-06-01,0.220000
